Time RSSI
18:25:09.786189 -71
18:25:10.823666 -54
18:25:11.861345 -61
18:25:12.897430 -65
18:25:13.934925 -64
18:25:14.972390 -70
18:25:16.013726 -64
18:25:17.051310 -59
18:25:18.088515 -58
18:25:19.124865 -55
18:25:20.162606 -62
18:25:21.202633 -60
18:25:22.239867 -62
18:25:23.277386 -54
18:25:24.315082 -55
18:25:25.350608 -60
18:25:26.390605 -58
18:25:27.428708 -64
18:25:28.466266 -67
18:25:29.503960 -61
18:25:30.541594 -66
18:25:31.582629 -59
18:25:32.620019 -64
18:25:33.656244 -61
18:25:34.692713 -63
18:25:35.728118 -69
18:25:36.768759 -85
18:25:37.806281 -69
18:25:38.842557 -58
18:25:39.879274 -62
18:25:53.355152 -54
18:25:54.391622 -52
18:25:56.465217 -53
18:25:57.502835 -55
18:25:58.540093 -44
18:26:01.654049 -59
18:26:02.690114 -55
18:26:03.727653 -56
18:26:06.840220 -61
18:26:08.914356 -47
18:35:29.819138 -92
18:35:30.856697 -83
18:35:31.894227 -81
18:35:32.932008 -84
18:35:33.967874 -93
18:35:34.996688 -92
18:35:36.039078 -91
18:35:37.076601 -88
18:35:38.114297 -93
18:35:39.151687 -89
18:35:40.187919 -83
18:35:41.227907 -87
18:35:42.264261 -98
18:35:43.301716 -89
18:35:44.339105 -94
18:35:45.376677 -93
18:35:46.415513 -88
18:35:47.453005 -89
18:35:48.490496 -85
18:35:49.529197 -84
18:35:50.566738 -87
18:35:51.617257 -85
18:35:52.654343 -86
18:35:53.691958 -92
18:35:54.729235 -86
18:35:55.766780 -82
18:35:56.810560 -84
18:35:57.848004 -84
18:35:58.885615 -90
18:35:59.923249 -89
18:36:10.294521 -95
18:36:21.701040 -80
18:36:24.813287 -83
18:36:26.888277 -75
18:36:27.930970 -77
18:36:31.043359 -79
18:36:32.080121 -73
18:36:33.119473 -77
18:36:40.383454 -77
18:36:43.494719 -61
18:36:50.752335 -82
18:36:55.939030 -91
18:36:56.981086 -86
18:37:09.412332 -97
18:37:18.742365 -97
18:37:19.782602 -94
18:37:33.262392 -96
18:37:34.299830 -92
18:38:31.315307 -97
18:38:32.353067 -91
18:38:34.426473 -96
18:40:13.962370 -96
18:40:14.999682 -88
18:40:16.037245 -88
18:40:17.074866 -92
18:40:18.112370 -90
18:40:19.148511 -89
18:40:20.193630 -89
18:40:21.232266 -87
18:40:22.269937 -91
18:40:23.307265 -92
18:40:24.344904 -90
18:40:25.384184 -92
18:40:26.422476 -91
18:40:27.459867 -88
18:40:28.499796 -85
18:40:29.537229 -88
18:40:30.579745 -87
18:40:31.617312 -85
18:40:32.655009 -89
18:40:33.692318 -89
18:40:34.729822 -81
18:40:35.771291 -83
18:40:36.808624 -87
18:40:37.846024 -85
18:40:38.883639 -82
18:40:39.921223 -83
18:40:40.962400 -83
18:40:41.999882 -83
18:40:43.036133 -81
18:40:44.074887 -82
18:40:46.148545 -90
18:40:50.296244 -89
18:40:51.333718 -88
18:41:05.845000 -85
18:42:13.230179 -95
18:42:14.267703 -92
