Time RSSI
0:01 0
0:02 0
0:03 0
0:04 0
0:05 0
0:06 0
0:07 0
0:08 0
0:09 0
0:10 0
0:11 0
0:12 0
0:13 0
0:14 0
0:15 0
0:16 0
0:17 0
0:18 0
0:19 0
0:20 0
0:21 0
0:22 0
0:23 0
0:24 0
0:25 0
0:26 0
0:27 0
0:28 0
0:29 0
0:30 0
0:31 0
0:32 0
0:33 -98
0:34 0
0:35 0
0:36 -95
0:37 0
0:38 0
0:39 0
0:40 0
0:41 -93
0:42 0
0:43 0
0:44 0
0:45 0
0:46 0
0:47 0
0:48 0
0:49 0
0:50 0
0:51 0
0:52 0
0:53 -92
0:54 0
0:55 0
0:56 0
0:57 0
0:58 0
0:59 0
1:00 0
1:01 0
1:02 0
1:03 0
1:04 0
1:05 0
1:06 0
1:07 0
1:08 0
1:09 0
1:10 0
1:11 0
1:12 0
1:13 0
1:14 0
1:15 0
1:16 0
1:17 0
1:18 0
1:19 0
1:20 0
1:21 0
1:22 0
1:23 0
1:24 -87
1:25 0
1:26 0
1:27 0
1:28 0
1:29 0
1:30 0
1:31 0
1:32 0
1:33 0
1:34 0
1:35 0
1:36 0
1:37 0
1:38 0
1:39 0
1:40 0
1:41 0
1:42 0
1:43 -88
1:44 0
1:45 0
1:46 0
1:47 0
1:48 0
1:49 -91
1:50 0
1:51 0
1:52 0
1:53 -88
1:54 0
1:55 0
1:56 0
1:57 0
1:58 -85
1:59 -88
2:00 0
2:01 0
2:02 0
2:03 0
2:04 0
2:05 0
2:06 0
2:07 0
2:08 0
2:09 0
2:10 -89
2:11 0
2:12 -87
2:13 0
2:14 0
2:15 0
2:16 0
2:17 0
2:18 0
2:19 -96
2:20 0
2:21 0
2:22 0
2:23 0
2:24 0
2:25 0
2:26 0
2:27 0
2:28 0
2:29 0
2:30 0
2:31 0
2:32 -94
2:33 -87
2:34 -94
2:35 -89
2:36 -89
2:37 -87
2:38 -88
2:39 -88
2:40 -90
2:41 -95
2:42 0
2:43 -90
2:44 -93
2:45 -86
2:46 -85
2:47 -92
2:48 -85
2:49 -93
2:50 -98
2:51 -90
2:52 -94
2:53 -84
2:54 -86
2:55 -83
2:56 -82
2:57 -85
2:58 -79
2:59 -79
3:00 -80
3:01 -78
3:02 -75
3:03 -81
3:04 0
3:05 0
3:06 0
3:07 0
3:08 -75
3:09 0
3:10 -71
3:11 -75
3:12 0
3:13 -68
3:14 -71
3:15 -74
3:16 -73
3:17 -74
3:18 -76
3:19 -72
3:20 -79
3:21 -86
3:22 0
3:23 0
3:24 0
3:25 0
3:26 -70
3:27 -77
3:28 0
3:29 0
3:30 0
3:31 0
3:32 -71
3:33 0
3:34 0
3:35 0
3:36 0
3:37 0
3:38 -78
3:39 0
3:40 0
3:41 0
3:42 -71
3:43 0
3:44 0
3:45 0
3:46 0
3:47 0
3:48 0
3:49 0
3:50 0
3:51 0
3:52 0
3:53 0
3:54 0
3:55 0
3:56 0
3:57 0
3:58 0
3:59 0
4:00 0
4:01 0
4:02 0
4:03 0
4:04 0
4:05 0
4:06 0
4:07 0
4:08 0
4:09 0
4:10 0
4:11 0
4:12 0
4:13 0
4:14 0
4:15 0
4:16 0
4:17 -96
4:18 -91
4:19 -88
4:20 -91
4:21 -93
4:22 -94
4:23 -91
4:24 -89
4:25 -94
4:26 -94
4:27 -89
4:28 0
4:29 0
4:30 -91
4:31 -94
4:32 -92
4:33 -88
4:34 -93
4:35 -94
4:36 -95
4:37 -98
4:38 -94
4:39 0
4:40 -93
4:41 -90
4:42 -94
4:43 -92
4:44 -94
4:45 -92
4:46 -91
4:47 0
4:48 0
4:49 0
4:50 0
4:51 0
4:52 -92
4:53 0
4:54 0
4:55 0
4:56 0
4:57 0
4:58 0
4:59 0
5:00 0
5:01 0
5:02 0
5:03 0
5:04 0
5:05 0
5:06 0
5:07 0
5:08 0
5:09 0
5:10 0
5:11 0
5:12 0
5:13 0
5:14 0
5:15 0
5:16 0
5:17 -82
5:18 0
5:19 0
5:20 0
5:21 0
5:22 0
5:23 0
5:24 0
5:25 0
5:26 0
5:27 -92
5:28 0
5:29 0
5:30 -94
5:31 -89
5:32 0
5:33 0
5:34 0
5:35 0
5:36 0
5:37 0
5:38 0
5:39 0
5:40 0
5:41 0
5:42 0
5:43 -86
5:44 -82
5:45 0
5:46 -79
5:47 0
5:48 0
5:49 -88
5:50 0
5:51 -84
5:52 0
5:53 -80
5:54 -77
5:55 -79
5:56 -77
5:57 -82
5:58 -79
5:59 -75
6:00 0
6:01 -77
6:02 -68
6:03 0
6:04 -61
6:05 0
6:06 0
6:07 0
6:08 -91
6:09 0
6:10 -78
6:11 0
6:12 0
6:13 0
6:14 0
6:15 0
6:16 -79
6:17 -81
